Products and product groups,time,cpi
"Household operations, furnishings and equipment",May-18,122.8
"Household operations, furnishings and equipment",Jun-18,122.6
"Household operations, furnishings and equipment",Jul-18,123.1
"Household operations, furnishings and equipment",Aug-18,122.9
"Household operations, furnishings and equipment",Sep-18,123
"Household operations, furnishings and equipment",Oct-18,124
"Household operations, furnishings and equipment",Nov-18,123.8
"Household operations, furnishings and equipment",Dec-18,123.4
"Household operations, furnishings and equipment",Jan-19,123.3
"Household operations, furnishings and equipment",Feb-19,123.6
"Household operations, furnishings and equipment",Mar-19,123.5
"Household operations, furnishings and equipment",Apr-19,123.8
"Household operations, furnishings and equipment",May-19,123.9
"Household operations, furnishings and equipment",Jun-19,124.1
"Household operations, furnishings and equipment",Jul-19,123.5
"Household operations, furnishings and equipment",Aug-19,123.5
"Household operations, furnishings and equipment",Sep-19,123.6
"Household operations, furnishings and equipment",Oct-19,123.8
"Household operations, furnishings and equipment",Nov-19,123.6
"Household operations, furnishings and equipment",Dec-19,122.9
"Household operations, furnishings and equipment",Jan-20,122.6
"Household operations, furnishings and equipment",Feb-20,123.3
"Household operations, furnishings and equipment",Mar-20,123.7
"Household operations, furnishings and equipment",Apr-20,124.2
"Household operations, furnishings and equipment",May-20,123.6
"Household operations, furnishings and equipment",Jun-20,123.7
"Household operations, furnishings and equipment",Jul-20,124.2
"Household operations, furnishings and equipment",Aug-20,124
"Household operations, furnishings and equipment",Sep-20,124
"Household operations, furnishings and equipment",Oct-20,124.3
"Household operations, furnishings and equipment",Nov-20,124.3
"Household operations, furnishings and equipment",Dec-20,123.6
"Household operations, furnishings and equipment",Jan-21,124.3
"Household operations, furnishings and equipment",Feb-21,124.3
"Household operations, furnishings and equipment",Mar-21,123.5
"Household operations, furnishings and equipment",Apr-21,124.7
"Household operations, furnishings and equipment",May-21,124.7
"Household operations, furnishings and equipment",Jun-21,124.8
"Household operations, furnishings and equipment",Jul-21,125.6
"Household operations, furnishings and equipment",Aug-21,125.8
"Household operations, furnishings and equipment",Sep-21,125.9
"Household operations, furnishings and equipment",Oct-21,126.5
"Household operations, furnishings and equipment",Nov-21,126.3
"Household operations, furnishings and equipment",Dec-21,126.1
"Household operations, furnishings and equipment",Jan-22,126.7
"Household operations, furnishings and equipment",Feb-22,127.6
"Household operations, furnishings and equipment",Mar-22,129.1
"Household operations, furnishings and equipment",Apr-22,129.8
"Household operations, furnishings and equipment",May-22,131.5
"Household operations, furnishings and equipment",Jun-22,131.8
"Household operations, furnishings and equipment",Jul-22,131.9
"Household operations, furnishings and equipment",Aug-22,132.2
"Household operations, furnishings and equipment",Sep-22,132.7
"Household operations, furnishings and equipment",Oct-22,132.9
"Household operations, furnishings and equipment",Nov-22,132.9
"Household operations, furnishings and equipment",Dec-22,131.9
"Household operations, furnishings and equipment",Jan-23,131.4
"Household operations, furnishings and equipment",Feb-23,132.8
"Household operations, furnishings and equipment",Mar-23,133.3
"Household operations, furnishings and equipment",Apr-23,133.7
"Household operations, furnishings and equipment",May-23,133
"Household operations, furnishings and equipment",Jun-23,132.2
"Household operations, furnishings and equipment",Jul-23,131.8
"Household operations, furnishings and equipment",Aug-23,132.2
"Household operations, furnishings and equipment",Sep-23,131.3
"Household operations, furnishings and equipment",Oct-23,131.3
"Household operations, furnishings and equipment",Nov-23,130.9
"Household operations, furnishings and equipment",Dec-23,129.7
Clothing and footwear,Jan-13,87.9
Clothing and footwear,Feb-13,91.4
Clothing and footwear,Mar-13,95.3
Clothing and footwear,Apr-13,94.7
Clothing and footwear,May-13,93.9
Clothing and footwear,Jun-13,91.2
Clothing and footwear,Jul-13,90.4
Clothing and footwear,Aug-13,91.6
Clothing and footwear,Sep-13,93.7
Clothing and footwear,Oct-13,94
Clothing and footwear,Nov-13,92.1
Clothing and footwear,Dec-13,89.4
Clothing and footwear,Jan-14,89.2
Clothing and footwear,Feb-14,91
Clothing and footwear,Mar-14,94
Clothing and footwear,Apr-14,95
Clothing and footwear,May-14,94.5
Clothing and footwear,Jun-14,92.7
Clothing and footwear,Jul-14,91.8
Clothing and footwear,Aug-14,92.1
Clothing and footwear,Sep-14,95.6
Clothing and footwear,Oct-14,96.9
Clothing and footwear,Nov-14,94.7
Clothing and footwear,Dec-14,91.1
Clothing and footwear,Jan-15,91.1
Clothing and footwear,Feb-15,93.3
Clothing and footwear,Mar-15,96.4
Clothing and footwear,Apr-15,96.2
Clothing and footwear,May-15,95
Clothing and footwear,Jun-15,93
Clothing and footwear,Jul-15,93
Clothing and footwear,Aug-15,94
Clothing and footwear,Sep-15,96.7
Clothing and footwear,Oct-15,97.7
Clothing and footwear,Nov-15,96.7
Clothing and footwear,Dec-15,91.7
Clothing and footwear,Jan-16,90.8
Clothing and footwear,Feb-16,92.1
Clothing and footwear,Mar-16,96
Clothing and footwear,Apr-16,96
Clothing and footwear,May-16,96
Clothing and footwear,Jun-16,94.1
Clothing and footwear,Jul-16,92.6
Clothing and footwear,Aug-16,93.6
Clothing and footwear,Sep-16,96.8
Clothing and footwear,Oct-16,97.5
Clothing and footwear,Nov-16,95.5
Clothing and footwear,Dec-16,91.9
Clothing and footwear,Jan-17,91.1
Clothing and footwear,Feb-17,92.9
Clothing and footwear,Mar-17,95.1
Clothing and footwear,Apr-17,94.1
Clothing and footwear,May-17,94.6
Clothing and footwear,Jun-17,92.5
Clothing and footwear,Jul-17,92.5
Clothing and footwear,Aug-17,93.2
Clothing and footwear,Sep-17,94.6
Clothing and footwear,Oct-17,96
Clothing and footwear,Nov-17,95.3
Clothing and footwear,Dec-17,92.4
Clothing and footwear,Jan-18,91.7
Clothing and footwear,Feb-18,93.3
Clothing and footwear,Mar-18,95
Clothing and footwear,Apr-18,96.2
Clothing and footwear,May-18,95.4
Clothing and footwear,Jun-18,94.2
Clothing and footwear,Jul-18,93
Clothing and footwear,Aug-18,93.7
Clothing and footwear,Sep-18,96
Clothing and footwear,Oct-18,97.2
Clothing and footwear,Nov-18,95.9
Clothing and footwear,Dec-18,92.6
Clothing and footwear,Jan-19,92.2
Clothing and footwear,Feb-19,94.8
Clothing and footwear,Mar-19,96.4
Clothing and footwear,Apr-19,97.2
Clothing and footwear,May-19,96.7
Clothing and footwear,Jun-19,94.9
Clothing and footwear,Jul-19,94
Clothing and footwear,Aug-19,94.7
Clothing and footwear,Sep-19,98.5
Clothing and footwear,Oct-19,99.4
Clothing and footwear,Nov-19,98.5
Clothing and footwear,Dec-19,95.3
Clothing and footwear,Jan-20,95.8
Clothing and footwear,Feb-20,97.4
Clothing and footwear,Mar-20,99
Clothing and footwear,Apr-20,93.2
Clothing and footwear,May-20,91.5
Clothing and footwear,Jun-20,92.4
Clothing and footwear,Jul-20,92.1
Clothing and footwear,Aug-20,93.5
Clothing and footwear,Sep-20,94.5
Clothing and footwear,Oct-20,95.4
Clothing and footwear,Nov-20,96.2
Clothing and footwear,Dec-20,92.1
Clothing and footwear,Jan-21,91.9
Clothing and footwear,Feb-21,92.7
Clothing and footwear,Mar-21,93.7
Clothing and footwear,Apr-21,94.9
Clothing and footwear,May-21,95.1
Clothing and footwear,Jun-21,93.4
Clothing and footwear,Jul-21,93
Clothing and footwear,Aug-21,93.3
Clothing and footwear,Sep-21,94.7
Clothing and footwear,Oct-21,96
Clothing and footwear,Nov-21,96.9
Clothing and footwear,Dec-21,93.1
Clothing and footwear,Jan-22,93.4
Clothing and footwear,Feb-22,93.8
Clothing and footwear,Mar-22,94.5
Clothing and footwear,Apr-22,95.1
Clothing and footwear,May-22,97.2
Clothing and footwear,Jun-22,95.9
Clothing and footwear,Jul-22,94.3
Clothing and footwear,Aug-22,94.6
Clothing and footwear,Sep-22,96.1
Clothing and footwear,Oct-22,97.7
Clothing and footwear,Nov-22,97.3
Clothing and footwear,Dec-22,94.8
Clothing and footwear,Jan-23,93.8
Clothing and footwear,Feb-23,95.6
Clothing and footwear,Mar-23,96.8
Clothing and footwear,Apr-23,97.5
Clothing and footwear,May-23,97.9
Clothing and footwear,Jun-23,96.2
Clothing and footwear,Jul-23,95.2
Clothing and footwear,Aug-23,96.2
Clothing and footwear,Sep-23,97.1
Clothing and footwear,Oct-23,97.2
Clothing and footwear,Nov-23,97.9
Clothing and footwear,Dec-23,95.7
Transportation,Jan-13,126.7
Transportation,Feb-13,130.3
Transportation,Mar-13,129.5
Transportation,Apr-13,128.6
Transportation,May-13,129.2
Transportation,Jun-13,130.2
Transportation,Jul-13,129.8
Transportation,Aug-13,129.2
Transportation,Sep-13,129.3
Transportation,Oct-13,128.5
Transportation,Nov-13,128
Transportation,Dec-13,128.5
Transportation,Jan-14,129.2
Transportation,Feb-14,130.8
Transportation,Mar-14,131.7
Transportation,Apr-14,132.2
Transportation,May-14,132.7
Transportation,Jun-14,133.1
Transportation,Jul-14,131.5
Transportation,Aug-14,130.8
Transportation,Sep-14,130
Transportation,Oct-14,129.9
Transportation,Nov-14,127.7
Transportation,Dec-14,124.9
Transportation,Jan-15,122.4
Transportation,Feb-15,124.3
Transportation,Mar-15,126.6
Transportation,Apr-15,126.6
Transportation,May-15,128
Transportation,Jun-15,129.6
Transportation,Jul-15,129.2
Transportation,Aug-15,127.8
Transportation,Sep-15,125.4
Transportation,Oct-15,125.8
Transportation,Nov-15,126.3
Transportation,Dec-15,125.6
Transportation,Jan-16,125.1
Transportation,Feb-16,123.7
Transportation,Mar-16,125.3
Transportation,Apr-16,127.8
Transportation,May-16,129.4
Transportation,Jun-16,131
Transportation,Jul-16,128.9
Transportation,Aug-16,128.2
Transportation,Sep-16,128.3
Transportation,Oct-16,129.6
Transportation,Nov-16,128.1
Transportation,Dec-16,129.4
Transportation,Jan-17,133
Transportation,Feb-17,131.9
Transportation,Mar-17,131.1
Transportation,Apr-17,133.2
Transportation,May-17,132.3
Transportation,Jun-17,131.8
Transportation,Jul-17,131.3
Transportation,Aug-17,131.8
Transportation,Sep-17,133.2
Transportation,Oct-17,133.5
Transportation,Nov-17,135.7
Transportation,Dec-17,135.7
Transportation,Jan-18,137.2
Transportation,Feb-18,137.7
Transportation,Mar-18,138
Transportation,Apr-18,139.5
Transportation,May-18,139.7
Transportation,Jun-18,140.5
Transportation,Jul-18,142
Transportation,Aug-18,141.3
Transportation,Sep-18,138.4
Transportation,Oct-18,139.3
Transportation,Nov-18,137.1
Transportation,Dec-18,138
Transportation,Jan-19,136.6
Transportation,Feb-19,137.9
Transportation,Mar-19,140.6
Transportation,Apr-19,143
Transportation,May-19,144
Transportation,Jun-19,142.7
Transportation,Jul-19,144.2
Transportation,Aug-19,143.3
Transportation,Sep-19,140.3
Transportation,Oct-19,141.3
Transportation,Nov-19,141.5
